iteration_no,link_id,from_node_id,to_node_id,volume,ref_volume,base_demand_volume,obs_volume,background_volume,link_capacity,lane_capacity,D,doc,vdf_fftt,travel_time,vdf_alpha,vdf_beta,vdf_plf,speed_mph,speed_kmph,VMT,VHT,PMT,PHT,VHT_QVDF,PHT_QVDF,geometry,mod_vol_auto,obs_vol_auto,P,t0,t2,t3,vt2_mph,vt2_kmph,mu,Q_gamma,free_speed_mph,cutoff_speed_mph,free_speed_kmph,cutoff_speed_kmph,congestion_ref_speed_mph,avg_queue_speed_mph,avg_QVDF_period_speed_mph,congestion_ref_speed_kmph,avg_queue_speed_kmph,avg_QVDF_period_speed_kmph,avg_QVDF_period_travel_time,Severe_Congestion_P,spd_mph_07:00,spd_mph_07:05,spd_mph_07:10,spd_mph_07:15,spd_mph_07:20,spd_mph_07:25,spd_mph_07:30,spd_mph_07:35,spd_mph_07:40,spd_mph_07:45,spd_mph_07:50,spd_mph_07:55,
1,1,1,105,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.9500,0.9500,0.1500,4.0000,1.0000,56.2105,90.4427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.95857402769856 33.32929064666485, -111.9726789 33.3344285)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,41.250000,66.371250,0.000000,-nan(ind),55.000000,41.250000,88.495000,66.371250,55.000000,55.000000,55.000000,88.495000,88.495000,88.495000,0.970909,0.000000,55.000,55.000,55.000,55.000,55.000,55.000,-nan(ind),55.000,55.000,55.000,55.000,55.000,
1,2,1,753,860.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,860.0000,0.0086,0.9500,0.9500,0.1500,4.0000,1.0000,56.2105,90.4427,765.400000,13.616667,765.400000,13.616667,13.931469,13.931469,"LINESTRING (-111.95857402769856 33.32929064666485, -111.97269 33.3342879)",860.000000,-1.000000,0.008600,7.495700,7.500000,7.504300,41.250000,66.371250,86000.000000,5392087587050.128906,55.000000,41.250000,88.495000,66.371250,54.881749,54.881749,54.940366,88.304734,88.304734,88.399049,0.971963,0.000000,55.000,54.980,54.960,54.940,54.920,54.901,41.250,54.901,54.920,54.940,54.960,54.980,
1,3,1,1284,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.7400,0.7400,0.1500,4.0000,1.0000,55.9459,90.0170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.95857402769856 33.32929064666485, -111.963016 33.3199329)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,41.250000,66.371250,0.000000,-nan(ind),55.000000,41.250000,88.495000,66.371250,55.000000,55.000000,55.000000,88.495000,88.495000,88.495000,0.752727,0.000000,55.000,55.000,55.000,55.000,55.000,55.000,-nan(ind),55.000,55.000,55.000,55.000,55.000,
1,4,1,1286,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.7500,0.7500,0.1500,4.0000,1.0000,56.0000,90.1040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.95857402769856 33.32929064666485, -111.963158 33.3199306)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,41.250000,66.371250,0.000000,-nan(ind),55.000000,41.250000,88.495000,66.371250,55.000000,55.000000,55.000000,88.495000,88.495000,88.495000,0.763636,0.000000,55.000,55.000,55.000,55.000,55.000,55.000,-nan(ind),55.000,55.000,55.000,55.000,55.000,
1,5,1,2760,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.9100,0.9100,0.1500,4.0000,1.0000,56.0440,90.1747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.95857402769856 33.32929064666485, -111.9720876 33.3245642)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,41.250000,66.371250,0.000000,-nan(ind),55.000000,41.250000,88.495000,66.371250,55.000000,55.000000,55.000000,88.495000,88.495000,88.495000,0.927273,0.000000,55.000,55.000,55.000,55.000,55.000,55.000,-nan(ind),55.000,55.000,55.000,55.000,55.000,
1,6,2,582,290.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,290.0000,0.0029,0.1900,0.1900,0.1500,4.0000,1.0000,56.8421,91.4589,52.200000,0.918333,52.200000,0.918333,0.949436,0.949436,"LINESTRING (-111.9223448853546 33.32935351748038, -111.9203207 33.3273629)",290.000000,-1.000000,0.002900,7.498550,7.500000,7.501450,41.250000,66.371250,29000.000000,28563462616865.027344,55.000000,41.250000,88.495000,66.371250,54.960125,54.960125,54.980004,88.430840,88.430840,88.462827,0.196435,0.000000,55.000,54.993,54.987,54.980,54.973,54.967,41.250,54.967,54.973,54.980,54.987,54.993,
1,7,2,1071,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.7800,0.7800,0.1500,4.0000,1.0000,56.1538,90.3515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9223448853546 33.32935351748038, -111.92823 33.320059)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,41.250000,66.371250,0.000000,-nan(ind),55.000000,41.250000,88.495000,66.371250,55.000000,55.000000,55.000000,88.495000,88.495000,88.495000,0.796364,0.000000,55.000,55.000,55.000,55.000,55.000,55.000,-nan(ind),55.000,55.000,55.000,55.000,55.000,
1,8,2,1528,100.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,100.0000,0.0010,0.7100,0.7100,0.1500,4.0000,1.0000,55.7746,89.7414,66.000000,1.183333,66.000000,1.183333,1.200150,1.200150,"LINESTRING (-111.9223448853546 33.32935351748038, -111.9111722 33.3271018)",100.000000,-1.000000,0.001000,7.499500,7.500000,7.500500,41.250000,66.371250,10000.000000,2557977179027866.500000,55.000000,41.250000,88.495000,66.371250,54.986250,54.986250,54.993118,88.472876,88.472876,88.483927,0.720090,0.000000,55.000,54.998,54.995,54.993,54.991,54.989,41.250,54.989,54.991,54.993,54.995,54.998,
1,9,2,2250,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.7700,0.7700,0.1500,4.0000,1.0000,56.1039,90.2712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9223448853546 33.32935351748038, -111.928108 33.3200579)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,41.250000,66.371250,0.000000,-nan(ind),55.000000,41.250000,88.495000,66.371250,55.000000,55.000000,55.000000,88.495000,88.495000,88.495000,0.785455,0.000000,55.000,55.000,55.000,55.000,55.000,55.000,-nan(ind),55.000,55.000,55.000,55.000,55.000,
1,10,3,1026,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.2200,0.2200,0.1500,4.0000,1.0000,54.5455,87.7636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.94838873006022 33.32731187952501, -111.9455976 33.3254949)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,41.250000,66.371250,0.000000,-nan(ind),55.000000,41.250000,88.495000,66.371250,55.000000,55.000000,55.000000,88.495000,88.495000,88.495000,0.218182,0.000000,55.000,55.000,55.000,55.000,55.000,55.000,-nan(ind),55.000,55.000,55.000,55.000,55.000,
